temperature,pressure,humidity,wind_direction,wind_speed,weather_condition
297.89,999.0,78.0,227.0,2.0,rain
297.18,1009.0,71.0,210.0,0.0,rain
296.7,999.0,81.0,243.0,2.0,rain
296.35,1012.0,77.0,240.0,0.0,rain
297.482,1020.0,73.0,147.0,1.0,rain
296.64,1012.0,66.0,291.0,0.0,rain
301.3,1000.0,61.0,268.0,2.0,rain
301.02,1011.0,60.0,247.0,1.0,rain
301.06,1011.0,60.0,281.0,1.0,rain
295.35,1002.0,65.0,49.0,1.0,rain
294.76,1013.0,99.0,15.0,0.0,rain
295.4,1016.0,70.0,7.0,2.0,rain
296.54,1016.0,68.0,29.0,2.0,rain
293.41,1017.0,76.0,46.0,1.0,rain
293.62,1017.0,97.0,55.0,0.0,rain
294.16,1007.0,91.0,110.0,1.0,rain
294.34,1019.0,99.0,104.0,0.0,rain
296.46,1026.0,97.0,200.0,1.0,rain
296.18,1026.0,89.0,200.0,1.0,rain
295.96,1014.0,91.0,200.0,1.0,rain
296.11,1025.0,96.0,208.0,1.0,rain
296.22,1027.0,92.0,158.0,1.0,rain
305.55,1035.0,54.0,305.0,2.0,rain
306.970666667,1035.0,49.0,308.0,2.0,rain
306.659333333,1034.0,49.0,311.0,2.0,rain
304.32,1025.0,89.0,220.0,0.0,rain
304.11,1025.0,53.0,247.0,1.0,rain
302.86,1025.0,60.0,238.0,1.0,rain
301.55,1025.0,65.0,207.0,0.0,rain
299.7,1025.0,74.0,200.0,1.0,rain
296.94,1025.0,85.0,234.0,2.0,rain
296.7,1025.0,85.0,202.0,1.0,rain
306.51,1022.0,47.0,294.0,1.0,rain
306.3,1021.0,48.0,269.0,1.0,rain
306.24,1021.0,46.0,286.0,2.0,rain
305.63,1021.0,50.0,295.0,1.0,rain
304.67,1021.0,54.0,283.0,1.0,rain
303.04,1021.0,58.0,312.0,1.0,rain
301.3,1021.0,64.0,312.0,1.0,rain
298.44,1022.0,70.0,325.0,0.0,rain
301.1,1015.0,78.0,238.0,2.0,rain
303.54,1008.0,70.0,244.0,0.0,rain
301.31,1009.0,70.0,277.0,3.0,rain
297.77,1011.0,79.0,272.0,2.0,rain
297.09,1011.0,84.0,193.0,1.0,rain
296.68,1011.0,87.0,272.0,2.0,rain
296.46,1013.0,87.0,229.0,1.0,rain
297.2,1012.0,73.0,250.0,1.0,rain
301.62,1012.0,71.0,85.0,2.0,rain
301.58,1009.0,100.0,126.0,0.0,rain
296.33,1008.0,96.0,99.0,1.0,rain
295.29,1006.0,93.0,129.0,8.0,rain
294.74,1004.0,99.0,8.0,1.0,rain
295.205,999.0,95.0,148.0,31.0,rain
301.4,1004.0,65.0,249.0,2.0,rain
301.63,1003.0,62.0,309.0,2.0,rain
300.37,1002.0,97.0,286.0,1.0,rain
299.14,1003.0,97.0,260.0,1.0,rain
297.91,1003.0,97.0,260.0,0.0,rain
294.92,1004.0,93.0,261.0,0.0,rain
294.77,1004.0,93.0,261.0,1.0,rain
295.67,1006.0,94.0,285.0,2.0,rain
297.16,996.0,73.0,308.0,5.0,rain
297.86,1008.0,90.0,0.0,1.0,rain
298.3,1009.0,67.0,294.0,3.0,rain
298.63,1009.0,59.0,293.0,1.0,rain
298.41,1009.0,60.0,333.0,2.0,rain
293.77,1002.0,60.0,338.0,0.0,rain
292.6,1002.0,62.0,13.0,2.0,rain
291.53,1003.0,63.0,23.0,0.0,rain
290.55,1013.0,64.0,13.0,2.0,rain
289.96,1003.0,69.0,34.0,3.0,rain
289.13,1013.0,64.0,336.0,1.0,rain
288.7,1003.0,72.0,34.0,3.0,rain
288.48,1013.0,78.0,11.0,1.0,rain
288.03,1013.0,70.0,1.0,1.0,rain
288.26,1014.0,78.0,355.0,1.0,rain
289.27,1014.0,67.0,56.0,2.0,rain
290.13,1015.0,78.0,24.0,2.0,rain
291.06,1015.0,94.0,24.0,3.0,rain
291.93,1016.0,94.0,44.0,3.0,rain
294.77,1016.0,97.0,41.0,2.0,rain
294.93,1016.0,97.0,344.0,3.0,rain
295.28,1016.0,96.0,5.0,2.0,rain
294.67,1016.0,96.0,17.0,2.0,rain
293.67,1016.0,96.0,47.0,2.0,rain
292.6,1017.0,94.0,22.0,1.0,rain
291.89,1017.0,94.0,21.0,1.0,rain
291.55,1017.0,93.0,30.0,1.0,rain
290.19,1016.0,80.0,347.0,0.0,rain
290.35,1016.0,94.0,340.0,1.0,rain
292.32,1017.0,89.0,355.0,1.0,rain
297.01,1018.0,69.0,343.0,2.0,rain
298.82,1017.0,63.0,323.0,2.0,rain
299.55,1017.0,63.0,282.0,2.0,rain
290.0,1017.0,79.0,201.0,2.0,rain
293.56,1014.0,85.0,148.0,1.0,rain
294.42,1014.0,75.0,165.0,3.0,rain
295.66,1014.0,75.0,148.0,1.0,rain
